model,run_id,step,entropy_bits
Claude Sonnet 4.5,22,7,0.0
Claude Sonnet 4.5,22,8,0.0
Claude Sonnet 4.5,22,9,0.0
Claude Sonnet 4.5,22,10,0.0
Claude Sonnet 4.5,23,1,4.392317422778761
Claude Sonnet 4.5,23,2,3.0
Claude Sonnet 4.5,23,3,2.321928094887362
Claude Sonnet 4.5,23,4,2.0
Claude Sonnet 4.5,23,5,1.584962500721156
Claude Sonnet 4.5,23,6,1.0
Claude Sonnet 4.5,23,7,0.0
Claude Sonnet 4.5,23,8,0.0
Claude Sonnet 4.5,23,9,0.0
Claude Sonnet 4.5,23,10,0.0
Claude Sonnet 4.5,24,1,4.459431618637297
Claude Sonnet 4.5,24,2,3.0
Claude Sonnet 4.5,24,3,2.807354922057604
Claude Sonnet 4.5,24,4,2.0
Claude Sonnet 4.5,24,5,1.584962500721156
Claude Sonnet 4.5,24,6,1.0
Claude Sonnet 4.5,24,7,0.0
Claude Sonnet 4.5,24,8,0.0
Claude Sonnet 4.5,24,9,0.0
Claude Sonnet 4.5,24,10,0.0
Claude Sonnet 4.5,25,1,4.523561956057013
Claude Sonnet 4.5,25,2,2.807354922057604
Claude Sonnet 4.5,25,3,2.321928094887362
Claude Sonnet 4.5,25,4,2.0
Claude Sonnet 4.5,25,5,1.584962500721156
Claude Sonnet 4.5,25,6,1.0
Claude Sonnet 4.5,25,7,0.0
Claude Sonnet 4.5,25,8,0.0
Claude Sonnet 4.5,25,9,0.0
Claude Sonnet 4.5,25,10,0.0
Claude Sonnet 4.5,26,1,4.392317422778761
Claude Sonnet 4.5,26,2,3.169925001442312
Claude Sonnet 4.5,26,3,2.584962500721156
Claude Sonnet 4.5,26,4,2.0
Claude Sonnet 4.5,26,5,1.584962500721156
Claude Sonnet 4.5,26,6,1.0
Claude Sonnet 4.5,26,7,0.0
Claude Sonnet 4.5,26,8,0.0
Claude Sonnet 4.5,26,9,0.0
Claude Sonnet 4.5,26,10,0.0
Claude Sonnet 4.5,27,1,4.459431618637297
Claude Sonnet 4.5,27,2,3.4594316186372973
Claude Sonnet 4.5,27,3,2.584962500721156
Claude Sonnet 4.5,27,4,2.0
Claude Sonnet 4.5,27,5,1.584962500721156
Claude Sonnet 4.5,27,6,1.0
Claude Sonnet 4.5,27,7,0.0
Claude Sonnet 4.5,27,8,0.0
Claude Sonnet 4.5,27,9,0.0
Claude Sonnet 4.5,27,10,0.0
Claude Sonnet 4.5,28,1,4.584962500721156
Claude Sonnet 4.5,28,2,2.807354922057604
Claude Sonnet 4.5,28,3,2.584962500721156
Claude Sonnet 4.5,28,4,2.321928094887362
Claude Sonnet 4.5,28,5,1.584962500721156
Claude Sonnet 4.5,28,6,1.0
Claude Sonnet 4.5,28,7,0.0
Claude Sonnet 4.5,28,8,0.0
Claude Sonnet 4.5,28,9,0.0
Claude Sonnet 4.5,28,10,0.0
Claude Sonnet 4.5,29,1,4.523561956057013
Claude Sonnet 4.5,29,2,3.169925001442312
Claude Sonnet 4.5,29,3,1.584962500721156
Claude Sonnet 4.5,29,4,1.0
Claude Sonnet 4.5,29,5,0.0
Claude Sonnet 4.5,29,6,0.0
Claude Sonnet 4.5,29,7,0.0
Claude Sonnet 4.5,29,8,0.0
Claude Sonnet 4.5,29,9,0.0
Claude Sonnet 4.5,29,10,0.0
Claude Sonnet 4.5,30,1,4.459431618637297
Claude Sonnet 4.5,30,2,3.321928094887362
Claude Sonnet 4.5,30,3,2.584962500721156
Claude Sonnet 4.5,30,4,2.321928094887362
Claude Sonnet 4.5,30,5,1.0
Claude Sonnet 4.5,30,6,0.0
Claude Sonnet 4.5,30,7,0.0
Claude Sonnet 4.5,30,8,0.0
Claude Sonnet 4.5,30,9,0.0
Claude Sonnet 4.5,30,10,0.0
GPT 5,1,1,4.523561956057013
GPT 5,1,2,3.0
GPT 5,1,3,1.584962500721156
GPT 5,1,4,1.0
GPT 5,1,5,0.0
GPT 5,1,6,0.0
GPT 5,1,7,0.0
GPT 5,1,8,0.0
GPT 5,1,9,0.0
GPT 5,1,10,0.0
GPT 5,2,1,4.459431618637297
GPT 5,2,2,3.321928094887362
GPT 5,2,3,2.0
GPT 5,2,4,1.0
GPT 5,2,5,0.0
GPT 5,2,6,0.0
GPT 5,2,7,0.0
GPT 5,2,8,0.0
GPT 5,2,9,0.0
GPT 5,2,10,0.0
GPT 5,3,1,4.392317422778761
GPT 5,3,2,2.807354922057604
GPT 5,3,3,2.0
GPT 5,3,4,0.0
GPT 5,3,5,0.0
GPT 5,3,6,0.0
GPT 5,3,7,0.0
GPT 5,3,8,0.0
GPT 5,3,9,0.0
GPT 5,3,10,0.0
GPT 5,4,1,4.392317422778761
GPT 5,4,2,3.169925001442312
GPT 5,4,3,2.0
GPT 5,4,4,1.584962500721156
GPT 5,4,5,0.0
GPT 5,4,6,0.0
GPT 5,4,7,0.0
GPT 5,4,8,0.0
GPT 5,4,9,0.0
GPT 5,4,10,0.0
GPT 5,5,1,4.459431618637297
GPT 5,5,2,2.807354922057604
GPT 5,5,3,2.0
GPT 5,5,4,1.0
GPT 5,5,5,0.0
GPT 5,5,6,0.0
GPT 5,5,7,0.0
GPT 5,5,8,0.0
GPT 5,5,9,0.0
GPT 5,5,10,0.0
GPT 5,6,1,4.459431618637297
GPT 5,6,2,2.807354922057604
GPT 5,6,3,1.584962500721156
GPT 5,6,4,1.0
GPT 5,6,5,0.0
GPT 5,6,6,0.0
GPT 5,6,7,0.0
GPT 5,6,8,0.0
GPT 5,6,9,0.0
GPT 5,6,10,0.0
GPT 5,7,1,4.459431618637297
GPT 5,7,2,2.584962500721156
GPT 5,7,3,2.0
GPT 5,7,4,1.0
GPT 5,7,5,0.0
GPT 5,7,6,0.0
GPT 5,7,7,0.0
GPT 5,7,8,0.0
GPT 5,7,9,0.0
GPT 5,7,10,0.0
GPT 5,8,1,4.523561956057013
GPT 5,8,2,3.0
GPT 5,8,3,2.0
GPT 5,8,4,1.584962500721156
GPT 5,8,5,0.0
GPT 5,8,6,0.0
GPT 5,8,7,0.0
GPT 5,8,8,0.0
GPT 5,8,9,0.0
GPT 5,8,10,0.0
GPT 5,9,1,4.392317422778761
GPT 5,9,2,2.807354922057604
GPT 5,9,3,1.584962500721156
GPT 5,9,4,1.0
GPT 5,9,5,0.0
GPT 5,9,6,0.0
GPT 5,9,7,0.0
GPT 5,9,8,0.0
GPT 5,9,9,0.0
GPT 5,9,10,0.0
GPT 5,10,1,4.321928094887363
GPT 5,10,2,2.807354922057604
GPT 5,10,3,1.584962500721156
GPT 5,10,4,0.0
GPT 5,10,5,0.0
GPT 5,10,6,0.0
GPT 5,10,7,0.0
GPT 5,10,8,0.0
GPT 5,10,9,0.0
GPT 5,10,10,0.0
GPT 5,11,1,4.392317422778761
GPT 5,11,2,3.0
GPT 5,11,3,1.584962500721156
GPT 5,11,4,1.0
GPT 5,11,5,0.0
GPT 5,11,6,0.0
GPT 5,11,7,0.0
GPT 5,11,8,0.0
GPT 5,11,9,0.0
GPT 5,11,10,0.0
GPT 5,12,1,4.392317422778761
GPT 5,12,2,2.807354922057604
GPT 5,12,3,1.584962500721156
GPT 5,12,4,1.0
GPT 5,12,5,0.0
GPT 5,12,6,0.0
GPT 5,12,7,0.0
GPT 5,12,8,0.0
GPT 5,12,9,0.0
GPT 5,12,10,0.0
GPT 5,13,1,4.459431618637297
GPT 5,13,2,2.321928094887362
GPT 5,13,3,1.584962500721156
GPT 5,13,4,1.0
GPT 5,13,5,0.0
GPT 5,13,6,0.0
GPT 5,13,7,0.0
GPT 5,13,8,0.0
GPT 5,13,9,0.0
GPT 5,13,10,0.0
GPT 5,14,1,4.584962500721156
GPT 5,14,2,2.321928094887362
GPT 5,14,3,2.0
GPT 5,14,4,1.584962500721156
GPT 5,14,5,1.0
GPT 5,14,6,0.0
GPT 5,14,7,0.0
GPT 5,14,8,0.0
GPT 5,14,9,0.0
GPT 5,14,10,0.0
GPT 5,15,1,4.392317422778761
GPT 5,15,2,2.807354922057604
GPT 5,15,3,2.0
GPT 5,15,4,0.0
GPT 5,15,5,0.0
GPT 5,15,6,0.0
GPT 5,15,7,0.0
GPT 5,15,8,0.0
GPT 5,15,9,0.0
GPT 5,15,10,0.0
GPT 5,16,1,4.523561956057013
GPT 5,16,2,2.584962500721156
GPT 5,16,3,2.0
GPT 5,16,4,1.0
GPT 5,16,5,0.0
GPT 5,16,6,0.0
GPT 5,16,7,0.0
GPT 5,16,8,0.0
GPT 5,16,9,0.0
GPT 5,16,10,0.0
GPT 5,17,1,4.392317422778761
GPT 5,17,2,2.807354922057604
GPT 5,17,3,1.584962500721156
GPT 5,17,4,1.0
GPT 5,17,5,0.0
GPT 5,17,6,0.0
GPT 5,17,7,0.0
GPT 5,17,8,0.0
GPT 5,17,9,0.0
GPT 5,17,10,0.0
GPT 5,18,1,4.459431618637297
GPT 5,18,2,3.0
GPT 5,18,3,2.0
GPT 5,18,4,1.0
GPT 5,18,5,0.0
GPT 5,18,6,0.0
GPT 5,18,7,0.0
GPT 5,18,8,0.0
GPT 5,18,9,0.0
GPT 5,18,10,0.0
GPT 5,19,1,4.392317422778761
GPT 5,19,2,2.807354922057604
GPT 5,19,3,2.0
GPT 5,19,4,1.584962500721156
GPT 5,19,5,0.0
GPT 5,19,6,0.0
GPT 5,19,7,0.0
GPT 5,19,8,0.0
GPT 5,19,9,0.0
GPT 5,19,10,0.0
GPT 5,20,1,4.321928094887363
GPT 5,20,2,2.321928094887362
GPT 5,20,3,2.0
GPT 5,20,4,1.0
GPT 5,20,5,0.0
GPT 5,20,6,0.0
GPT 5,20,7,0.0
GPT 5,20,8,0.0
GPT 5,20,9,0.0
GPT 5,20,10,0.0
GPT 5,21,1,4.459431618637297
GPT 5,21,2,2.584962500721156
GPT 5,21,3,2.0
GPT 5,21,4,1.0
GPT 5,21,5,0.0
GPT 5,21,6,0.0
GPT 5,21,7,0.0
GPT 5,21,8,0.0
GPT 5,21,9,0.0
GPT 5,21,10,0.0
GPT 5,22,1,4.584962500721156
GPT 5,22,2,2.321928094887362
GPT 5,22,3,2.0
GPT 5,22,4,1.584962500721156
GPT 5,22,5,0.0
GPT 5,22,6,0.0
GPT 5,22,7,0.0
GPT 5,22,8,0.0
GPT 5,22,9,0.0
GPT 5,22,10,0.0
GPT 5,23,1,4.321928094887363
GPT 5,23,2,3.0
GPT 5,23,3,1.584962500721156
GPT 5,23,4,1.0
GPT 5,23,5,0.0
GPT 5,23,6,0.0
GPT 5,23,7,0.0
GPT 5,23,8,0.0
GPT 5,23,9,0.0
GPT 5,23,10,0.0
GPT 5,24,1,4.523561956057013
GPT 5,24,2,2.807354922057604
GPT 5,24,3,2.0
GPT 5,24,4,1.0
GPT 5,24,5,0.0
GPT 5,24,6,0.0
GPT 5,24,7,0.0
GPT 5,24,8,0.0
GPT 5,24,9,0.0
GPT 5,24,10,0.0
GPT 5,25,1,4.392317422778761
GPT 5,25,2,2.807354922057604
GPT 5,25,3,2.0
GPT 5,25,4,1.0
GPT 5,25,5,0.0
GPT 5,25,6,0.0
GPT 5,25,7,0.0
GPT 5,25,8,0.0
GPT 5,25,9,0.0
GPT 5,25,10,0.0
GPT 5,26,1,4.392317422778761
GPT 5,26,2,2.584962500721156
GPT 5,26,3,2.0
GPT 5,26,4,1.0
GPT 5,26,5,0.0
GPT 5,26,6,0.0
GPT 5,26,7,0.0
GPT 5,26,8,0.0
GPT 5,26,9,0.0
GPT 5,26,10,0.0
GPT 5,27,1,4.459431618637297
GPT 5,27,2,3.169925001442312
GPT 5,27,3,1.584962500721156
GPT 5,27,4,1.0
GPT 5,27,5,0.0
GPT 5,27,6,0.0
GPT 5,27,7,0.0
GPT 5,27,8,0.0
GPT 5,27,9,0.0
GPT 5,27,10,0.0
GPT 5,28,1,4.459431618637297
GPT 5,28,2,3.0
GPT 5,28,3,1.584962500721156
GPT 5,28,4,1.0
GPT 5,28,5,0.0
GPT 5,28,6,0.0
GPT 5,28,7,0.0
GPT 5,28,8,0.0
GPT 5,28,9,0.0
GPT 5,28,10,0.0
GPT 5,29,1,4.459431618637297
GPT 5,29,2,2.584962500721156
GPT 5,29,3,2.0
GPT 5,29,4,1.0
GPT 5,29,5,0.0
GPT 5,29,6,0.0
GPT 5,29,7,0.0
GPT 5,29,8,0.0
GPT 5,29,9,0.0
GPT 5,29,10,0.0
GPT 5,30,1,4.523561956057013
GPT 5,30,2,3.0
GPT 5,30,3,1.584962500721156
GPT 5,30,4,1.0
GPT 5,30,5,0.0
GPT 5,30,6,0.0
GPT 5,30,7,0.0
GPT 5,30,8,0.0
GPT 5,30,9,0.0
GPT 5,30,10,0.0
Gemini 2.5 Pro,1,1,4.459431618637297
Gemini 2.5 Pro,1,2,2.584962500721156
Gemini 2.5 Pro,1,3,2.0
Gemini 2.5 Pro,1,4,1.584962500721156
Gemini 2.5 Pro,1,5,1.0
Gemini 2.5 Pro,1,6,0.0
Gemini 2.5 Pro,1,7,0.0
Gemini 2.5 Pro,1,8,0.0
Gemini 2.5 Pro,1,9,0.0
Gemini 2.5 Pro,1,10,0.0
Gemini 2.5 Pro,2,1,4.584962500721156
Gemini 2.5 Pro,2,2,2.807354922057604
Gemini 2.5 Pro,2,3,1.584962500721156
Gemini 2.5 Pro,2,4,1.0
Gemini 2.5 Pro,2,5,0.0
Gemini 2.5 Pro,2,6,0.0
Gemini 2.5 Pro,2,7,0.0
Gemini 2.5 Pro,2,8,0.0
Gemini 2.5 Pro,2,9,0.0
Gemini 2.5 Pro,2,10,0.0
Gemini 2.5 Pro,3,1,4.459431618637297
Gemini 2.5 Pro,3,2,3.169925001442312
Gemini 2.5 Pro,3,3,1.584962500721156
Gemini 2.5 Pro,3,4,1.0
Gemini 2.5 Pro,3,5,0.0
Gemini 2.5 Pro,3,6,0.0
Gemini 2.5 Pro,3,7,0.0
Gemini 2.5 Pro,3,8,0.0
Gemini 2.5 Pro,3,9,0.0
Gemini 2.5 Pro,3,10,0.0
Gemini 2.5 Pro,4,1,4.459431618637297
Gemini 2.5 Pro,4,2,3.169925001442312
Gemini 2.5 Pro,4,3,2.0
Gemini 2.5 Pro,4,4,1.584962500721156
Gemini 2.5 Pro,4,5,1.0
Gemini 2.5 Pro,4,6,0.0
Gemini 2.5 Pro,4,7,0.0
Gemini 2.5 Pro,4,8,0.0
Gemini 2.5 Pro,4,9,0.0
Gemini 2.5 Pro,4,10,0.0
Gemini 2.5 Pro,5,1,4.584962500721156
Gemini 2.5 Pro,5,2,3.0
Gemini 2.5 Pro,5,3,1.584962500721156
Gemini 2.5 Pro,5,4,1.0
Gemini 2.5 Pro,5,5,0.0
Gemini 2.5 Pro,5,6,0.0
Gemini 2.5 Pro,5,7,0.0
Gemini 2.5 Pro,5,8,0.0
Gemini 2.5 Pro,5,9,0.0
Gemini 2.5 Pro,5,10,0.0
Gemini 2.5 Pro,6,1,4.459431618637297
Gemini 2.5 Pro,6,2,3.321928094887362
Gemini 2.5 Pro,6,3,1.584962500721156
Gemini 2.5 Pro,6,4,1.0
Gemini 2.5 Pro,6,5,0.0
Gemini 2.5 Pro,6,6,0.0
Gemini 2.5 Pro,6,7,0.0
Gemini 2.5 Pro,6,8,0.0
Gemini 2.5 Pro,6,9,0.0
Gemini 2.5 Pro,6,10,0.0
Gemini 2.5 Pro,7,1,4.392317422778761
Gemini 2.5 Pro,7,2,2.807354922057604
Gemini 2.5 Pro,7,3,1.0
Gemini 2.5 Pro,7,4,0.0
Gemini 2.5 Pro,7,5,0.0
Gemini 2.5 Pro,7,6,0.0
Gemini 2.5 Pro,7,7,0.0
Gemini 2.5 Pro,7,8,0.0
Gemini 2.5 Pro,7,9,0.0
Gemini 2.5 Pro,7,10,0.0
Gemini 2.5 Pro,8,1,4.321928094887363
Gemini 2.5 Pro,8,2,3.0
Gemini 2.5 Pro,8,3,2.0
Gemini 2.5 Pro,8,4,1.584962500721156
Gemini 2.5 Pro,8,5,1.0
Gemini 2.5 Pro,8,6,0.0
Gemini 2.5 Pro,8,7,0.0
Gemini 2.5 Pro,8,8,0.0
Gemini 2.5 Pro,8,9,0.0
Gemini 2.5 Pro,8,10,0.0
Gemini 2.5 Pro,9,1,4.321928094887363
Gemini 2.5 Pro,9,2,3.169925001442312
Gemini 2.5 Pro,9,3,1.584962500721156
Gemini 2.5 Pro,9,4,1.0
Gemini 2.5 Pro,9,5,0.0
Gemini 2.5 Pro,9,6,0.0
Gemini 2.5 Pro,9,7,0.0
Gemini 2.5 Pro,9,8,0.0
Gemini 2.5 Pro,9,9,0.0
Gemini 2.5 Pro,9,10,0.0
Gemini 2.5 Pro,10,1,4.392317422778761
Gemini 2.5 Pro,10,2,3.169925001442312
Gemini 2.5 Pro,10,3,2.0
Gemini 2.5 Pro,10,4,1.584962500721156
Gemini 2.5 Pro,10,5,1.0
Gemini 2.5 Pro,10,6,0.0
Gemini 2.5 Pro,10,7,0.0
Gemini 2.5 Pro,10,8,0.0
Gemini 2.5 Pro,10,9,0.0
Gemini 2.5 Pro,10,10,0.0
Gemini 2.5 Pro,11,1,4.459431618637297
Gemini 2.5 Pro,11,2,3.0
Gemini 2.5 Pro,11,3,1.0
Gemini 2.5 Pro,11,4,0.0
Gemini 2.5 Pro,11,5,0.0
Gemini 2.5 Pro,11,6,0.0
Gemini 2.5 Pro,11,7,0.0
Gemini 2.5 Pro,11,8,0.0
Gemini 2.5 Pro,11,9,0.0
Gemini 2.5 Pro,11,10,0.0
Gemini 2.5 Pro,12,1,4.459431618637297
Gemini 2.5 Pro,12,2,3.321928094887362
Gemini 2.5 Pro,12,3,1.584962500721156
Gemini 2.5 Pro,12,4,1.0
Gemini 2.5 Pro,12,5,0.0
Gemini 2.5 Pro,12,6,0.0
Gemini 2.5 Pro,12,7,0.0
Gemini 2.5 Pro,12,8,0.0
Gemini 2.5 Pro,12,9,0.0
Gemini 2.5 Pro,12,10,0.0
Gemini 2.5 Pro,13,1,4.584962500721156
Gemini 2.5 Pro,13,2,3.0
Gemini 2.5 Pro,13,3,1.584962500721156
Gemini 2.5 Pro,13,4,1.0
