model,seed,step,entropy_bits
GPT 5,13,4,5.906890595608519
GPT 5,13,5,5.087462841250339
GPT 5,13,6,3.584962500721156
GPT 5,13,7,0.0
GPT 5,13,8,0.0
GPT 5,13,9,0.0
GPT 5,13,10,0.0
GPT 5,14,1,8.228818690495881
GPT 5,14,2,6.918863237274595
GPT 5,14,3,6.794415866350106
GPT 5,14,4,5.584962500721156
GPT 5,14,5,5.20945336562895
GPT 5,14,6,3.700439718141092
GPT 5,14,7,0.0
GPT 5,14,8,0.0
GPT 5,14,9,0.0
GPT 5,14,10,0.0
GPT 5,15,1,8.228818690495881
GPT 5,15,2,7.392317422778761
GPT 5,15,3,6.523561956057013
GPT 5,15,4,5.554588851677638
GPT 5,15,5,4.857980995127572
GPT 5,15,6,3.169925001442312
GPT 5,15,7,0.0
GPT 5,15,8,0.0
GPT 5,15,9,0.0
GPT 5,15,10,0.0
GPT 5,16,1,8.228818690495881
GPT 5,16,2,7.312882955284356
GPT 5,16,3,6.894817763307944
GPT 5,16,4,6.303780748177103
GPT 5,16,5,5.129283016944966
GPT 5,16,6,3.906890595608519
GPT 5,16,7,0.0
GPT 5,16,8,0.0
GPT 5,16,9,0.0
GPT 5,16,10,0.0
GPT 5,17,1,8.228818690495881
GPT 5,17,2,6.9886846867721655
GPT 5,17,3,6.820178962415188
GPT 5,17,4,6.321928094887363
GPT 5,17,5,4.321928094887363
GPT 5,17,6,3.0
GPT 5,17,7,0.0
GPT 5,17,8,0.0
GPT 5,17,9,0.0
GPT 5,17,10,0.0
GPT 5,18,1,8.228818690495881
GPT 5,18,2,7.366322214245816
GPT 5,18,3,6.442943495848728
GPT 5,18,4,5.0
GPT 5,18,5,5.0
GPT 5,18,6,4.523561956057013
GPT 5,18,7,0.0
GPT 5,18,8,0.0
GPT 5,18,9,0.0
GPT 5,18,10,0.0
GPT 5,19,1,8.228818690495881
GPT 5,19,2,7.044394119358453
GPT 5,19,3,6.906890595608519
GPT 5,19,4,5.584962500721156
GPT 5,19,5,4.643856189774724
GPT 5,19,6,3.906890595608519
GPT 5,19,7,0.0
GPT 5,19,8,0.0
GPT 5,19,9,0.0
GPT 5,19,10,0.0
GPT 5,20,1,8.228818690495881
GPT 5,20,2,7.129283016944966
GPT 5,20,3,6.247927513443585
GPT 5,20,4,5.754887502163468
GPT 5,20,5,4.459431618637297
GPT 5,20,6,3.4594316186372973
GPT 5,20,7,0.0
GPT 5,20,8,0.0
GPT 5,20,9,0.0
GPT 5,20,10,0.0
GPT 5,21,1,8.228818690495881
GPT 5,21,2,6.930737337562887
GPT 5,21,3,6.0
GPT 5,21,4,6.0
GPT 5,21,5,5.247927513443585
GPT 5,21,6,3.4594316186372973
GPT 5,21,7,0.0
GPT 5,21,8,0.0
GPT 5,21,9,0.0
GPT 5,21,10,0.0
GPT 5,22,1,8.228818690495881
GPT 5,22,2,7.066089190457772
GPT 5,22,3,6.870364719583405
GPT 5,22,4,6.044394119358453
GPT 5,22,5,4.523561956057013
GPT 5,22,6,4.321928094887363
GPT 5,22,7,0.0
GPT 5,22,8,0.0
GPT 5,22,9,0.0
GPT 5,22,10,0.0
GPT 5,23,1,8.228818690495881
GPT 5,23,2,6.930737337562887
GPT 5,23,3,6.392317422778761
GPT 5,23,4,6.044394119358453
GPT 5,23,5,4.906890595608519
GPT 5,23,6,4.392317422778761
GPT 5,23,7,0.0
GPT 5,23,8,0.0
GPT 5,23,9,0.0
GPT 5,23,10,0.0
GPT 5,24,1,8.228818690495881
GPT 5,24,2,7.118941072723508
GPT 5,24,3,6.459431618637297
GPT 5,24,4,5.0
GPT 5,24,5,5.0
GPT 5,24,6,4.392317422778761
GPT 5,24,7,0.0
GPT 5,24,8,0.0
GPT 5,24,9,0.0
GPT 5,24,10,0.0
GPT 5,25,1,8.228818690495881
GPT 5,25,2,6.965784284662087
GPT 5,25,3,6.022367813028454
GPT 5,25,4,4.954196310386875
GPT 5,25,5,4.0
GPT 5,25,6,3.0
GPT 5,25,7,0.0
GPT 5,25,8,0.0
GPT 5,25,9,0.0
GPT 5,25,10,0.0
GPT 5,26,1,8.228818690495881
GPT 5,26,2,7.276124405274237
GPT 5,26,3,5.977279923499917
GPT 5,26,4,5.977279923499917
GPT 5,26,5,4.523561956057013
GPT 5,26,6,4.523561956057013
GPT 5,26,7,0.0
GPT 5,26,8,0.0
GPT 5,26,9,0.0
GPT 5,26,10,0.0
GPT 5,27,1,8.228818690495881
GPT 5,27,2,7.20945336562895
GPT 5,27,3,6.6293566200796095
GPT 5,27,4,6.0
GPT 5,27,5,4.754887502163468
GPT 5,27,6,4.087462841250339
GPT 5,27,7,0.0
GPT 5,27,8,0.0
GPT 5,27,9,0.0
GPT 5,27,10,0.0
GPT 5,28,1,8.228818690495881
GPT 5,28,2,7.199672344836364
GPT 5,28,3,6.357552004618084
GPT 5,28,4,5.672425341971495
GPT 5,28,5,4.247927513443585
GPT 5,28,6,3.4594316186372973
GPT 5,28,7,0.0
GPT 5,28,8,0.0
GPT 5,28,9,0.0
GPT 5,28,10,0.0
GPT 5,29,1,8.228818690495881
GPT 5,29,2,7.022367813028454
GPT 5,29,3,6.129283016944966
GPT 5,29,4,5.78135971352466
GPT 5,29,5,4.754887502163468
GPT 5,29,6,4.584962500721156
GPT 5,29,7,0.0
GPT 5,29,8,0.0
GPT 5,29,9,0.0
GPT 5,29,10,0.0
GPT 5,30,1,8.228818690495881
GPT 5,30,2,7.05528243550119
GPT 5,30,3,6.714245517666122
GPT 5,30,4,6.129283016944966
GPT 5,30,5,4.584962500721156
GPT 5,30,6,4.087462841250339
GPT 5,30,7,0.0
GPT 5,30,8,0.0
GPT 5,30,9,0.0
GPT 5,30,10,0.0
Gemini 2.5 Pro,1,1,8.228818690495881
Gemini 2.5 Pro,1,2,7.459431618637297
Gemini 2.5 Pro,1,3,7.189824558880018
Gemini 2.5 Pro,1,4,6.6293566200796095
Gemini 2.5 Pro,1,5,5.700439718141092
Gemini 2.5 Pro,1,6,4.807354922057604
Gemini 2.5 Pro,1,7,4.087462841250339
Gemini 2.5 Pro,1,8,2.0
Gemini 2.5 Pro,1,9,0.0
Gemini 2.5 Pro,1,10,0.0
Gemini 2.5 Pro,2,1,8.228818690495881
Gemini 2.5 Pro,2,2,7.20945336562895
Gemini 2.5 Pro,2,3,6.459431618637297
Gemini 2.5 Pro,2,4,5.78135971352466
Gemini 2.5 Pro,2,5,5.523561956057013
Gemini 2.5 Pro,2,6,4.169925001442312
Gemini 2.5 Pro,2,7,3.906890595608519
Gemini 2.5 Pro,2,8,2.0
Gemini 2.5 Pro,2,9,0.0
Gemini 2.5 Pro,2,10,0.0
Gemini 2.5 Pro,3,1,8.228818690495881
Gemini 2.5 Pro,3,2,7.409390936137702
Gemini 2.5 Pro,3,3,6.930737337562887
Gemini 2.5 Pro,3,4,5.727920454563199
Gemini 2.5 Pro,3,5,5.727920454563199
Gemini 2.5 Pro,3,6,4.247927513443585
Gemini 2.5 Pro,3,7,3.700439718141092
Gemini 2.5 Pro,3,8,2.0
Gemini 2.5 Pro,3,9,0.0
Gemini 2.5 Pro,3,10,0.0
Gemini 2.5 Pro,4,1,8.228818690495881
Gemini 2.5 Pro,4,2,7.400879436282184
Gemini 2.5 Pro,4,3,6.9886846867721655
Gemini 2.5 Pro,4,4,6.129283016944966
Gemini 2.5 Pro,4,5,5.426264754702098
Gemini 2.5 Pro,4,6,4.906890595608519
Gemini 2.5 Pro,4,7,3.4594316186372973
Gemini 2.5 Pro,4,8,2.807354922057604
Gemini 2.5 Pro,4,9,0.0
Gemini 2.5 Pro,4,10,0.0
Gemini 2.5 Pro,5,1,8.228818690495881
Gemini 2.5 Pro,5,2,7.2384047393250786
Gemini 2.5 Pro,5,3,6.321928094887363
Gemini 2.5 Pro,5,4,5.977279923499917
Gemini 2.5 Pro,5,5,5.754887502163468
Gemini 2.5 Pro,5,6,4.954196310386875
Gemini 2.5 Pro,5,7,4.321928094887363
Gemini 2.5 Pro,5,8,2.584962500721156
Gemini 2.5 Pro,5,9,0.0
Gemini 2.5 Pro,5,10,0.0
Gemini 2.5 Pro,6,1,8.228818690495881
Gemini 2.5 Pro,6,2,7.366322214245816
Gemini 2.5 Pro,6,3,6.882643049361842
Gemini 2.5 Pro,6,4,6.087462841250339
Gemini 2.5 Pro,6,5,5.169925001442312
Gemini 2.5 Pro,6,6,4.754887502163468
Gemini 2.5 Pro,6,7,2.807354922057604
Gemini 2.5 Pro,6,8,2.0
Gemini 2.5 Pro,6,9,0.0
Gemini 2.5 Pro,6,10,0.0
Gemini 2.5 Pro,7,1,8.228818690495881
Gemini 2.5 Pro,7,2,7.539158811108031
Gemini 2.5 Pro,7,3,6.672425341971495
Gemini 2.5 Pro,7,4,5.977279923499917
Gemini 2.5 Pro,7,5,5.584962500721156
Gemini 2.5 Pro,7,6,4.321928094887363
Gemini 2.5 Pro,7,7,4.0
Gemini 2.5 Pro,7,8,3.169925001442312
Gemini 2.5 Pro,7,9,0.0
Gemini 2.5 Pro,7,10,0.0
Gemini 2.5 Pro,8,1,8.228818690495881
Gemini 2.5 Pro,8,2,7.22881869049588
Gemini 2.5 Pro,8,3,7.098032082960526
Gemini 2.5 Pro,8,4,5.882643049361842
Gemini 2.5 Pro,8,5,5.321928094887363
Gemini 2.5 Pro,8,6,4.643856189774724
Gemini 2.5 Pro,8,7,4.169925001442312
Gemini 2.5 Pro,8,8,3.169925001442312
Gemini 2.5 Pro,8,9,0.0
Gemini 2.5 Pro,8,10,0.0
Gemini 2.5 Pro,9,1,8.228818690495881
Gemini 2.5 Pro,9,2,7.499845887083206
Gemini 2.5 Pro,9,3,6.714245517666122
Gemini 2.5 Pro,9,4,5.727920454563199
Gemini 2.5 Pro,9,5,5.672425341971495
Gemini 2.5 Pro,9,6,4.754887502163468
Gemini 2.5 Pro,9,7,2.807354922057604
Gemini 2.5 Pro,9,8,2.321928094887362
Gemini 2.5 Pro,9,9,0.0
Gemini 2.5 Pro,9,10,0.0
Gemini 2.5 Pro,10,1,8.228818690495881
Gemini 2.5 Pro,10,2,7.321928094887363
Gemini 2.5 Pro,10,3,6.906890595608519
Gemini 2.5 Pro,10,4,6.643856189774724
Gemini 2.5 Pro,10,5,4.857980995127572
Gemini 2.5 Pro,10,6,3.906890595608519
Gemini 2.5 Pro,10,7,3.169925001442312
Gemini 2.5 Pro,10,8,2.0
Gemini 2.5 Pro,10,9,0.0
Gemini 2.5 Pro,10,10,0.0
Gemini 2.5 Pro,11,1,8.228818690495881
Gemini 2.5 Pro,11,2,7.622051819456376
Gemini 2.5 Pro,11,3,6.930737337562887
Gemini 2.5 Pro,11,4,6.108524456778169
Gemini 2.5 Pro,11,5,5.700439718141092
Gemini 2.5 Pro,11,6,4.247927513443585
Gemini 2.5 Pro,11,7,3.700439718141092
Gemini 2.5 Pro,11,8,3.169925001442312
Gemini 2.5 Pro,11,9,0.0
Gemini 2.5 Pro,11,10,0.0
Gemini 2.5 Pro,12,1,8.228818690495881
Gemini 2.5 Pro,12,2,7.199672344836364
Gemini 2.5 Pro,12,3,6.569855608330948
Gemini 2.5 Pro,12,4,6.569855608330948
Gemini 2.5 Pro,12,5,4.857980995127572
Gemini 2.5 Pro,12,6,4.392317422778761
Gemini 2.5 Pro,12,7,4.087462841250339
Gemini 2.5 Pro,12,8,2.321928094887362
Gemini 2.5 Pro,12,9,0.0
Gemini 2.5 Pro,12,10,0.0
Gemini 2.5 Pro,13,1,8.228818690495881
Gemini 2.5 Pro,13,2,7.3750394313469245
Gemini 2.5 Pro,13,3,6.954196310386875
Gemini 2.5 Pro,13,4,6.599912842187128
Gemini 2.5 Pro,13,5,5.247927513443585
Gemini 2.5 Pro,13,6,4.247927513443585
Gemini 2.5 Pro,13,7,3.4594316186372973
Gemini 2.5 Pro,13,8,2.807354922057604
Gemini 2.5 Pro,13,9,0.0
Gemini 2.5 Pro,13,10,0.0
Gemini 2.5 Pro,14,1,8.228818690495881
Gemini 2.5 Pro,14,2,7.159871336778389
Gemini 2.5 Pro,14,3,6.475733430966398
Gemini 2.5 Pro,14,4,6.475733430966398
Gemini 2.5 Pro,14,5,5.491853096329675
Gemini 2.5 Pro,14,6,5.0
Gemini 2.5 Pro,14,7,3.321928094887362
Gemini 2.5 Pro,14,8,3.169925001442312
Gemini 2.5 Pro,14,9,0.0
Gemini 2.5 Pro,14,10,0.0
Gemini 2.5 Pro,15,1,8.228818690495881
Gemini 2.5 Pro,15,2,7.392317422778761
Gemini 2.5 Pro,15,3,7.118941072723508
Gemini 2.5 Pro,15,4,6.189824558880018
Gemini 2.5 Pro,15,5,5.614709844115208
Gemini 2.5 Pro,15,6,5.129283016944966
Gemini 2.5 Pro,15,7,3.906890595608519
Gemini 2.5 Pro,15,8,2.0
Gemini 2.5 Pro,15,9,0.0
Gemini 2.5 Pro,15,10,0.0
Gemini 2.5 Pro,16,1,8.228818690495881
Gemini 2.5 Pro,16,2,7.592457037268081
Gemini 2.5 Pro,16,3,6.321928094887363
Gemini 2.5 Pro,16,4,6.321928094887363
Gemini 2.5 Pro,16,5,5.554588851677638
Gemini 2.5 Pro,16,6,4.321928094887363
Gemini 2.5 Pro,16,7,4.321928094887363
Gemini 2.5 Pro,16,8,3.0
Gemini 2.5 Pro,16,9,0.0
Gemini 2.5 Pro,16,10,0.0
Gemini 2.5 Pro,17,1,8.228818690495881
Gemini 2.5 Pro,17,2,7.159871336778389
Gemini 2.5 Pro,17,3,6.754887502163468
Gemini 2.5 Pro,17,4,5.906890595608519
Gemini 2.5 Pro,17,5,5.523561956057013
Gemini 2.5 Pro,17,6,3.584962500721156
Gemini 2.5 Pro,17,7,3.321928094887362
Gemini 2.5 Pro,17,8,3.321928094887362
Gemini 2.5 Pro,17,9,0.0
Gemini 2.5 Pro,17,10,0.0
Gemini 2.5 Pro,18,1,8.228818690495881
Gemini 2.5 Pro,18,2,7.643856189774724
Gemini 2.5 Pro,18,3,7.044394119358453
Gemini 2.5 Pro,18,4,6.266786540694901
Gemini 2.5 Pro,18,5,4.954196310386875
Gemini 2.5 Pro,18,6,4.584962500721156
Gemini 2.5 Pro,18,7,3.321928094887362
Gemini 2.5 Pro,18,8,2.321928094887362
Gemini 2.5 Pro,18,9,0.0
Gemini 2.5 Pro,18,10,0.0
Gemini 2.5 Pro,19,1,8.228818690495881
Gemini 2.5 Pro,19,2,7.400879436282184
Gemini 2.5 Pro,19,3,6.321928094887363
Gemini 2.5 Pro,19,4,6.321928094887363
Gemini 2.5 Pro,19,5,5.754887502163468
Gemini 2.5 Pro,19,6,5.0
Gemini 2.5 Pro,19,7,3.584962500721156
Gemini 2.5 Pro,19,8,2.0
Gemini 2.5 Pro,19,9,0.0
Gemini 2.5 Pro,19,10,0.0
Gemini 2.5 Pro,20,1,8.228818690495881
Gemini 2.5 Pro,20,2,7.149747119504682
Gemini 2.5 Pro,20,3,6.977279923499917
Gemini 2.5 Pro,20,4,6.0
Gemini 2.5 Pro,20,5,5.20945336562895
Gemini 2.5 Pro,20,6,4.523561956057013
Gemini 2.5 Pro,20,7,3.584962500721156
Gemini 2.5 Pro,20,8,1.584962500721156
Gemini 2.5 Pro,20,9,0.0
Gemini 2.5 Pro,20,10,0.0
Gemini 2.5 Pro,21,1,8.228818690495881
Gemini 2.5 Pro,21,2,7.614709844115208
Gemini 2.5 Pro,21,3,7.011227255423254
Gemini 2.5 Pro,21,4,5.832890014164741
Gemini 2.5 Pro,21,5,5.554588851677638
Gemini 2.5 Pro,21,6,3.584962500721156
Gemini 2.5 Pro,21,7,3.584962500721156
Gemini 2.5 Pro,21,8,3.169925001442312
Gemini 2.5 Pro,21,9,0.0
Gemini 2.5 Pro,21,10,0.0
Gemini 2.5 Pro,22,1,8.228818690495881
Gemini 2.5 Pro,22,2,7.475733430966398
Gemini 2.5 Pro,22,3,7.0
Gemini 2.5 Pro,22,4,6.409390936137702
Gemini 2.5 Pro,22,5,5.247927513443585
Gemini 2.5 Pro,22,6,4.247927513443585
Gemini 2.5 Pro,22,7,3.700439718141092
Gemini 2.5 Pro,22,8,3.169925001442312
Gemini 2.5 Pro,22,9,0.0
Gemini 2.5 Pro,22,10,0.0
Gemini 2.5 Pro,23,1,8.228818690495881
Gemini 2.5 Pro,23,2,7.554588851677638
Gemini 2.5 Pro,23,3,7.022367813028454
Gemini 2.5 Pro,23,4,6.768184324776926
Gemini 2.5 Pro,23,5,5.754887502163468
Gemini 2.5 Pro,23,6,4.643856189774724
Gemini 2.5 Pro,23,7,2.584962500721156
Gemini 2.5 Pro,23,8,2.584962500721156
Gemini 2.5 Pro,23,9,0.0
Gemini 2.5 Pro,23,10,0.0
Gemini 2.5 Pro,24,1,8.228818690495881
Gemini 2.5 Pro,24,2,7.599912842187128
Gemini 2.5 Pro,24,3,6.807354922057604
Gemini 2.5 Pro,24,4,6.584962500721156
Gemini 2.5 Pro,24,5,5.614709844115208
Gemini 2.5 Pro,24,6,4.392317422778761
Gemini 2.5 Pro,24,7,3.584962500721156
Gemini 2.5 Pro,24,8,2.584962500721156
Gemini 2.5 Pro,24,9,0.0
Gemini 2.5 Pro,24,10,0.0
Gemini 2.5 Pro,25,1,8.228818690495881
Gemini 2.5 Pro,25,2,7.475733430966398
Gemini 2.5 Pro,25,3,6.409390936137702
Gemini 2.5 Pro,25,4,6.066089190457772
Gemini 2.5 Pro,25,5,5.426264754702098
Gemini 2.5 Pro,25,6,4.087462841250339
Gemini 2.5 Pro,25,7,3.4594316186372973
Gemini 2.5 Pro,25,8,3.321928094887362
Gemini 2.5 Pro,25,9,0.0
Gemini 2.5 Pro,25,10,0.0
Gemini 2.5 Pro,26,1,8.228818690495881
Gemini 2.5 Pro,26,2,7.247927513443585
Gemini 2.5 Pro,26,3,6.523561956057013
Gemini 2.5 Pro,26,4,6.523561956057013
Gemini 2.5 Pro,26,5,5.285402218862249
Gemini 2.5 Pro,26,6,4.906890595608519
Gemini 2.5 Pro,26,7,3.4594316186372973
Gemini 2.5 Pro,26,8,3.321928094887362
Gemini 2.5 Pro,26,9,0.0
Gemini 2.5 Pro,26,10,0.0
Gemini 2.5 Pro,27,1,8.228818690495881
Gemini 2.5 Pro,27,2,7.569855608330948
Gemini 2.5 Pro,27,3,7.219168520462161
Gemini 2.5 Pro,27,4,6.6865005271832185
Gemini 2.5 Pro,27,5,4.643856189774724
Gemini 2.5 Pro,27,6,3.906890595608519
Gemini 2.5 Pro,27,7,3.906890595608519
Gemini 2.5 Pro,27,8,2.321928094887362
Gemini 2.5 Pro,27,9,0.0
Gemini 2.5 Pro,27,10,0.0
Gemini 2.5 Pro,28,1,8.228818690495881
Gemini 2.5 Pro,28,2,7.577428828035749
Gemini 2.5 Pro,28,3,6.820178962415188
Gemini 2.5 Pro,28,4,6.754887502163468
Gemini 2.5 Pro,28,5,5.247927513443585
Gemini 2.5 Pro,28,6,3.700439718141092
Gemini 2.5 Pro,28,7,3.700439718141092
Gemini 2.5 Pro,28,8,2.0
Gemini 2.5 Pro,28,9,0.0
Gemini 2.5 Pro,28,10,0.0
Gemini 2.5 Pro,29,1,8.228818690495881
Gemini 2.5 Pro,29,2,7.339850002884624
Gemini 2.5 Pro,29,3,6.714245517666122
Gemini 2.5 Pro,29,4,6.247927513443585
Gemini 2.5 Pro,29,5,5.321928094887363
Gemini 2.5 Pro,29,6,3.700439718141092
Gemini 2.5 Pro,29,7,3.700439718141092
Gemini 2.5 Pro,29,8,2.321928094887362
Gemini 2.5 Pro,29,9,0.0
Gemini 2.5 Pro,29,10,0.0
Gemini 2.5 Pro,30,1,8.228818690495881
Gemini 2.5 Pro,30,2,7.266786540694901
Gemini 2.5 Pro,30,3,6.794415866350106
Gemini 2.5 Pro,30,4,6.409390936137702
Gemini 2.5 Pro,30,5,4.906890595608519
Gemini 2.5 Pro,30,6,4.392317422778761
Gemini 2.5 Pro,30,7,4.321928094887363
Gemini 2.5 Pro,30,8,2.0
Gemini 2.5 Pro,30,9,0.0
Gemini 2.5 Pro,30,10,0.0
Claude Sonnet 4.5,1,1,8.228818690495881
Claude Sonnet 4.5,1,2,7.247927513443585
Claude Sonnet 4.5,1,3,6.94251450533924
Claude Sonnet 4.5,1,4,6.845490050944375
Claude Sonnet 4.5,1,5,6.108524456778169
Claude Sonnet 4.5,1,6,5.523561956057013
Claude Sonnet 4.5,1,7,3.700439718141092
Claude Sonnet 4.5,1,8,3.700439718141092
Claude Sonnet 4.5,1,9,0.0
Claude Sonnet 4.5,1,10,0.0
Claude Sonnet 4.5,2,1,8.228818690495881
Claude Sonnet 4.5,2,2,7.592457037268081
Claude Sonnet 4.5,2,3,7.2384047393250786
Claude Sonnet 4.5,2,4,6.741466986401147
Claude Sonnet 4.5,2,5,5.882643049361842
Claude Sonnet 4.5,2,6,4.754887502163468
Claude Sonnet 4.5,2,7,4.700439718141092
Claude Sonnet 4.5,2,8,3.0
Claude Sonnet 4.5,2,9,0.0
Claude Sonnet 4.5,2,10,0.0
Claude Sonnet 4.5,3,1,8.228818690495881
Claude Sonnet 4.5,3,2,7.651051691178929
Claude Sonnet 4.5,3,3,6.658211482751795
Claude Sonnet 4.5,3,4,6.569855608330948
Claude Sonnet 4.5,3,5,6.189824558880018
Claude Sonnet 4.5,3,6,5.087462841250339
Claude Sonnet 4.5,3,7,4.754887502163468
Claude Sonnet 4.5,3,8,3.321928094887362
Claude Sonnet 4.5,3,9,0.0
Claude Sonnet 4.5,3,10,0.0
Claude Sonnet 4.5,4,1,8.228818690495881
Claude Sonnet 4.5,4,2,7.321928094887363
Claude Sonnet 4.5,4,3,7.321928094887363
Claude Sonnet 4.5,4,4,6.906890595608519
Claude Sonnet 4.5,4,5,6.303780748177103
Claude Sonnet 4.5,4,6,4.906890595608519
Claude Sonnet 4.5,4,7,4.459431618637297
Claude Sonnet 4.5,4,8,3.700439718141092
Claude Sonnet 4.5,4,9,0.0
Claude Sonnet 4.5,4,10,0.0
Claude Sonnet 4.5,5,1,8.228818690495881
Claude Sonnet 4.5,5,2,7.714245517666122
Claude Sonnet 4.5,5,3,6.189824558880018
Claude Sonnet 4.5,5,4,6.189824558880018
Claude Sonnet 4.5,5,5,5.754887502163468
Claude Sonnet 4.5,5,6,5.0
Claude Sonnet 4.5,5,7,3.584962500721156
Claude Sonnet 4.5,5,8,3.584962500721156
Claude Sonnet 4.5,5,9,0.0
Claude Sonnet 4.5,5,10,0.0
Claude Sonnet 4.5,6,1,8.228818690495881
Claude Sonnet 4.5,6,2,7.584962500721156
Claude Sonnet 4.5,6,3,6.78135971352466
Claude Sonnet 4.5,6,4,6.78135971352466
Claude Sonnet 4.5,6,5,6.266786540694901
Claude Sonnet 4.5,6,6,4.754887502163468
Claude Sonnet 4.5,6,7,4.459431618637297
Claude Sonnet 4.5,6,8,3.584962500721156
Claude Sonnet 4.5,6,9,0.0
Claude Sonnet 4.5,6,10,0.0
Claude Sonnet 4.5,7,1,8.228818690495881
Claude Sonnet 4.5,7,2,7.266786540694901
Claude Sonnet 4.5,7,3,6.78135971352466
Claude Sonnet 4.5,7,4,6.727920454563199
Claude Sonnet 4.5,7,5,6.20945336562895
Claude Sonnet 4.5,7,6,4.643856189774724
Claude Sonnet 4.5,7,7,4.247927513443585
Claude Sonnet 4.5,7,8,3.321928094887362
Claude Sonnet 4.5,7,9,0.0
Claude Sonnet 4.5,7,10,0.0
Claude Sonnet 4.5,8,1,8.228818690495881
Claude Sonnet 4.5,8,2,7.700439718141092
Claude Sonnet 4.5,8,3,6.965784284662087
Claude Sonnet 4.5,8,4,6.894817763307944
Claude Sonnet 4.5,8,5,6.0
Claude Sonnet 4.5,8,6,5.129283016944966
Claude Sonnet 4.5,8,7,4.807354922057604
Claude Sonnet 4.5,8,8,3.807354922057604
